0,1,"Bonus AC vs. Weapon Type","AC Bonus/Setting","Weapon Type","Set the AC Bonus/Setting parameter to the AC Bonus against the weapon type set in Weapon Type parameter. If Weapon Type parameter is set to Base AC Setting then AC Bonus/Setting parameter is the base AC setting of the item like as in a Bracers of Defense. Possible values of the Weapon Type parameter are 0 for All Weapons, 1 for Blunt, 2 for Missile, 4 for Piercing, 8 for Slashing, and 16 for Base AC Setting."
1,2,"Attacks per 2 round Bonus","Statistic Modifier","Modifier Type","The Modifier Type parameter sets how the Statistic Modifier works. If it it a 00 then it makes the Modifier a flat point modifier (i.e. statistic plus the modifier number), if it is 01 the Modifier is a straight stat change (i.e. the statistic becomes what ever value the Modifier is), and if it is a 02 then the Modifier is a percentile modifier (i.e. the ability is multiplied by the Modifier value in percent so 10 is 10% making the ability 10% of its value)."
2,2,"(Awaken)","Undefined","Undefined","The exact definitions of these parameter and exact functions are undefined at this time."
3,1,"Berserking","Non-meaningful","Non-meaningful","Leave both parameters at all zeros for this Effect to work."
4,2,"Calm","Undefined","Undefined","The exact definitions of these parameter and exact functions are undefined at this time."
5,4,"Charm Specific Creature","Specific Creature Type","Undefined","Set the Specific Creature Type parameter to the name of the creature type to charm. The known values of the Specific Creature Type parameter are 00 is Any, 01 is HUMANOID, 02 is ANIMAL, 03 is DEAD, 04 is UNDEAD, 05 is GIANTHUMANOID, 06 is FROZEN, and 255 is MONSTER."
6,1,"Charisma Bonus","Statistic Modifier","Modifier Type","The Modifier Type parameter sets how the Statistic Modifier works. If it it a 00 then it makes the Modifier a flat point modifier (i.e. statistic plus the modifier number), if it is 01 the Modifier is a straight stat change (i.e. the statistic becomes what ever value the Modifier is), and if it is a 02 then the Modifier is a percentile modifier (i.e. the ability is multiplied by the Modifier value in percent so 10 is 10% making the ability 10% of its value)."
7,1,"Set Item Colors","Gradient Number","Location","The part changed is specified in the Location parameter and will be changed to the color set assigned by the Gradient Number parameter.  The known values of the Location parameter are 00 is belt buckle (when on armor) or amulets (on robes), 01 is minor color, 02 is major color, 03 is skin color, 04 is strap color (on armor) or minor triming (on robes - the center strip down a robe and the hem on some robes), 05 is armor color (and major triming on robe - cross trim and cape trim on  robe of archmagi), 06 is hair color, 16 is quillons or crossguard, 20 is grip (usually not seeable as it's in the character's hand), 21 is blade or major portion of weapon, 32 is shield hub, 34 is shield panelling, 37 is shield rim, 48 is helm ornamentation - i.e. wings, 49 is helm ornamentation - i.e. feathers/horsehair, 52 is unknown but listed in helm01, and 53 is helm - the main covering."
8,3,"Change Colors by RGB","RGB Color","Location","Set the RGB Color parameter to the color value you want to use with the second byte being the Red portion (0-255), the third byte the Green portion (0-255), and the fourth byte being the Blue portion (0-255) and the part specified in the Location parameter will change to that color. The known values of the Location parameter are 00 is belt buckle (when on armor) or amulets (on robes), 01 is minor color, 02 is major color, 03 is skin color, 04 is strap color (on armor) or minor triming (on robes - the center strip down a robe and the hem on some robes), 05 is armor color (and major triming on robe - cross trim and cape trim on  robe of archmagi), 06 is hair color, 16 is quillons or crossguard, 20 is grip (usually not seeable as it's in the character's hand), 21 is blade or major portion of weapon, 32 is shield hub, 34 is shield panelling, 37 is shield rim, 48 is helm ornamentation - i.e. wings, 49 is helm ornamentation - i.e. feathers/horsehair, 52 is unknown but listed in helm01, and 53 is helm - the main covering."
9,2,"Shining Colors by RGB","RGB Color","Location and Speed","Set the RGB Color parameter to the color value you want to use with the second byte being the Red portion (0-255), the third byte the Green portion (0-255), and the fourth byte being the Blue portion (0-255) and the part specified by the first 2 bytes of the Location and Speed parameter will flash that color with the third byte of the Location and Speed parameter determining the speed of the flashing with 01 the fastest and 255 the slowest. The known values of the Location part of the Location and Speed parameter are 00 is belt buckle (when on armor) or amulets (on robes), 01 is minor color, 02 is major color, 03 is skin color, 04 is strap color (on armor) or minor triming (on robes - the center strip down a robe and the hem on some robes), 05 is armor color (and major triming on robe - cross trim and cape trim on  robe of archmagi), 06 is hair color, 16 is quillons or crossguard, 20 is grip (usually not seeable as it's in the character's hand), 21 is blade or major portion of weapon, 32 is shield hub, 34 is shield panelling, 37 is shield rim, 48 is helm ornamentation - i.e. wings, 49 is helm ornamentation - i.e. feathers/horsehair, 52 is unknown but listed in helm01, and 53 is helm - the main covering."
10,1,"Constitution Bonus","Statistic Modifier","Modifier Type","The Modifier Type parameter sets how the Statistic Modifier works. If it it a 00 then it makes the Modifier a flat point modifier (i.e. statistic plus the modifier number), if it is 01 the Modifier is a straight stat change (i.e. the statistic becomes what ever value the Modifier is), and if it is a 02 then the Modifier is a percentile modifier (i.e. the ability is multiplied by the Modifier value in percent so 10 is 10% making the ability 10% of its value)."
11,1,"Neutralize Poison","Non-meaningful","Non-meaningful","Leave both parameters at all zeros for this Effect to work."
12,1,"Fixed/Random Damage","Fixed Damage","Damage Type","If the Fixed Damage parameter is set to an actual value then that is how much damage of the type specified in the Damage Type parameter that is done. If the Fixed Damage parameter is set to zero then it will do the random damage assigned by the Die Throws in the effect. The known values for the Damage Type parameter are 0 is CRUSHING, 16777216 (00 00 00 01) is SLASHING, 33554432 (00 00 00 02) is MAGICFIRE, 67108864 (00 00 00 04) is MAGICCOLD, 134217728 (00 00 00 08) is STUNNING, 65536 (00 00 01 00) is ACID, 131072 (00 00 02 00) is COLD, 262144 (00 00 04 00) is ELECTRICITY, 524288 (00 00 08 00) is FIRE, 1048576 (00 00 16 00) is PIERCING, 2097152 (00 00 32 00) is POISON, 4194304 (00 00 64 00) is MAGIC, 8388608 (00 00 128 00) is MISSILE, 2 (02 00 00 00) is Lower HP to Fixed Percent set by Fixed Damage value, and 1 (01 00 00 00) is Lower HP to Fixed Damage value."
13,1,"Death","Non-meaningful","Death Type","This effect will instantly kill a creature. The Death Type parameter sets which type of death occurs. Known values for the Death Type parameter are 0 for a normal death , 8 for a chunked death, 32 for freezing death, and 64 for exploding stoned death."
